BEGIN MOTOR   .AMP 
NR   NAME                            I-MAX    I-N      U-IMAX
0    6SN1123-1AA00-0AA0-1FT6         10       5        5,59
1    6SN1123-1AA00-0AA1-1FT6         10       5        5,59    
2    6SN1123-1AA00-0BA0-1FT6         18       9        5,59
3    6SN1123-1AA00-0BA0-1PH          16       8        4,96
4    6SN1123-1AA00-0BA1-1FT6         18       9        5,59                    
5    6SN1123-1AA00-0BA1-1PH          16       8        4,96    
6    6SN1123-1AA00-0CA0-1FT6         36       18       5,59
7    6SN1123-1AA00-0CA0-1PH          32       24       4,96
8    6SN1123-1AA00-0CA1-1FT6         36       18       5,59    
9    6SN1123-1AA00-0CA1-1PH          32       24       4,96    
10   6SN1123-1AA00-0DA0-1FT6         56       28       5,59
11   6SN1123-1AA00-0DA0-1PH          51       30       5,08
12   6SN1123-1AA00-0DA1-1FT6         56       28       5,59    
13   6SN1123-1AA00-0DA1-1PH          51       30       5,08    
14   6SN1123-1AA00-0EA0-1FT6         112      56       5,59
15   6SN1123-1AA00-0EA0-1PH          102      60       5,08
16   6SN1123-1AA00-0EA1-1FT6         112      56       5,59    
17   6SN1123-1AA00-0EA1-1PH          102      60       5,08    
18   6SN1123-1AA00-0GA0-1PH          76       45       3,793   
19   6SN1123-1AA00-0HA0-1FT6         6        3        5,59
20   6SN1123-1AA00-0HA1-1FT6         6        3        5,59    
21   6SN1123-1AA00-0JA0-1PH          193      120      5,59
22   6SN1123-1AA00-0JA1-1PH          193      120      5,59    
23   6SN1123-1AA00-0KA0-1PH          257      200      5,59
24   6SN1123-1AA00-0KA1-1PH          257      200      5,59    
25   6SN1123-1AA00-0LA0-1PH          76       45       5       
26   6SN1123-1AA00-0LA1-1PH          76       45       5       
27   6SN1123-1AA01-0FA0-1FT6         140      70       5,59
28   6SN1123-1AA01-0FA0-1PH          127      85       5,06
29   6SN1123-1AA01-0FA1-1FT6         140      70       5,59    
30   6SN1123-1AA01-0FA1-1PH          127      85       5,06    
31   6SN1123-1AB00-0AA0-1FT6         10       5        5,59
32   6SN1123-1AB00-0AA1-1FT6         10       5        5,59        
33   6SN1123-1AB00-0BA0-1FT6         18       9        5,59
34   6SN1123-1AB00-0BA1-1FT6         18       9        5,59    
35   6SN1123-1AB00-0CA0-1FT6         36       18       5,59
36   6SN1123-1AB00-0CA1-1FT6         36       18       5,59    
37   6SN1123-1AB00-0HA0-1FT6         6        3        5,59
38   6SN1123-1AB00-0HA1-1FT6         6        3        5,59    
39   BSC1010-704                     20       10       5,59
40   BSC1015-700                     30       15       5,59
41   HDD12.2-W040N                   28,3     10,6     5,66         
42   HDS12.2-W040N                   28,3     14,2     5,66    
43   HDS13.2-W075N                   53       28,3     5,66     
44   HDS13.2-W100N                   70,7     35,4     5,66       
45   HDS14.2-W200N                   141,4    84,9     5,66  
46   HEIDENHAIN-14A-QSY              28,5     14       5,66
47   HEIDENHAIN-15A-QSY              30       15       5,66     
48   HEIDENHAIN-19A-QAN              28,5     19       5,66
49   HEIDENHAIN-20A-QAN              30       20       5,66     
50   HEIDENHAIN-23A-QSY              46       23       5,66    
51   HEIDENHAIN-31A-QAN              46       31       5,66    
52   HEIDENHAIN-32A-QSY              64       32       5,66    
53   HEIDENHAIN-50A-QAN              64       50       5,66    
54   HEIDENHAIN-7,5A-QSY             15       7,5      5,66   
55   HEIDENHAIN-UM113-32A-QSY        64       32       5,66    
56   HEIDENHAIN-UM113-50A-QAN        64       50       5,66    
57   HEIDENHAIN-UM114-48A-QSY        96       48       5,66     
58   HEIDENHAIN-UM114-75A-QAN        96       75       5,66     
59   HEIDENHAIN-UM1x1-7,5A-QSY       15       7,5      5,66    
60   HEIDENHAIN-UM1x1B-15A-QSY       30       15       5,66     
61   HEIDENHAIN-UM1x1B-20A-QAN       30       20       5,66    
62   HEIDENHAIN-UM1x2-23A-QSY        46       23       5,66    
63   HEIDENHAIN-UM1x2-31A-QAN        46       31       5,66    
64   SPG-ASYNCHRON-(ASM,SPINDLE)     0,707    0,495    5,303   
65   SPG-SYNCHRON-(SM)               0,7      0,5      5       
66   ***
[END]
BEGIN MOTOR   .SN 
NR   NAME                            I-N      N-N    N-MAX  PZ STR  DIRECT. T-MAX I-MAX  M-CON U-CON 
0    1FK6040-6AK7                    1,75     6000   7500   3  2048 +       150   6,6    0,58  38 
1    1FK6042-6AF7                    2,4      3000   5200   3  2048 +       150   6,6    1,18  76
2    1FK6060-6AF7                    3,1      3000   4400   3  2048 +       150   15,48  1,39  90
3    1FK6063-6AF7                    4,9      3000   4400   3  2048 +       150   23,76  1,39  90
4    1FK6080-6AF7                    5,0      3000   4200   3  2048 +       150   21     1,48  95
5    1FK6083-6AF7                    7,5      3000   3850   3  2048 +       150   30,6   1,56  100
6    1FK6100-8AF7                    9        3000   4000   4  2048 +       150   48,8   1,48  95   
7    1FK6101-8AF7                    10,4     3000   3850   4  2048 +       150   57,6   1,56  100  
8    1FK6103-8AF7                    11,6     3000   3850   4  2048 +       150   76     1,56  100  
9    1FT6031-4AK7                    1,2      6000   7450   2  2048 +       150   3,6    0,68  47   
10   1FT6034-1AK7                    2,1      6000   7000   2  2048 +       150   6,45   0,77  50  
11   1FT6034-4AK7                    2,1      6000   7000   2  2048 +       150   6,45   0,77  50   
12   1FT6041-4AF7                    1,7      3000   4400   2  2048 +       150   4,65   1,4   90
13   1FT6041-4AK7                    2,4      6000   7350   2  2048 +       150   7,65   0,85  54
14   1FT6044-1AF7                    2,9      3000   3650   2  2048 +       150   7,5    1,66  108
15   1FT6044-4AF7                    2,9      3000   3650   2  2048 +       150   7,5    1,66  108  
16   1FT6044-4AK7                    4,1      6000   7050   2  2048 +       150   14,55  0,86  56   
17   1FT6061-1AF7                    2,6      3000   4200   3  2048 +       150   8,1    1,46  90
18   1FT6061-6AF7                    2,6      3000   4200   3  2048 +       150   8,1    1,46  90   
19   1FT6062-1AF7                    3,4      3000   4200   3  2048 +       150   12,24  1,46  90
20   1FT6062-1AH7                    3,9      4500   5850   3  2048 +       150   17,28  1,04  64   
21   1FT6062-6AC7                    2,6      2000   2800   3  2048 +       150   8,28   2,19  135  
22   1FT6062-6AF7                    3,4      3000   4200   3  2048 +       150   12,24  1,46  90   
23   1FT6062-6AH7                    3,9      4500   5850   3  2048 +       150   17,28  1,04  64
24   1FT6064-1AF7                    4,9      3000   3850   3  2048 +       150   18,0   1,57  97
25   1FT6064-1AH7                    5,5      4500   5850   3  2048 +       150   27,36  1,04  64   
26   1FT6064-4AK7                    3,5      6000   7850   2  2048 +       150   35,64  0,8   48   
27   1FT6064-6AC7                    3,8      2000   2650   3  2048 +       150   12,6   2,27  140
28   1FT6064-6AF7                    4,9      3000   3850   3  2048 +       150   18     1,57  97   
29   1FT6064-6AH7                    5,5      4500   5850   3  2048 +       150   27,36  1,04  64
30   1FT6064-6AK7                    3,5      6000   7850   3  2048 +       150   35,64  0,80  48   
31   1FT6081-8AF7                    5,6      3000   4550   4  2048 +       150   17,64  1,34  83   
32   1FT6082-1AF7                    8,7      3000   4700   4  2048 +       150   29,52  1,27  80   
33   1FT6082-1AH7                    11       4500   6300   4  2048 +       150   43,92  0,85  54   
34   1FT6082-8AC7                    6,6      2000   3150   4  2048 +       150   19,8   1,89  120
35   1FT6082-8AF7                    8,7      3000   4700   4  2048 +       150   29,52  1,27  80   
36   1FT6082-8AH7                    11,0     4500   6300   4  2048 +       150   43,92  0,85  54   
37   1FT6082-8AK7                    9,1      6000   6300   4  2048 +       150   52,74  0,71  45 
38   1FT6084-1AF7                    11,0     3000   4200   4  2048 +       150   40,68  1,43  90
39   1FT6084-8AC7                    8,3      2000   2800   4  2048 +       150   27,18  2,15  134
40   1FT6084-8AF7                    11       3000   4200   4  2048 +       150   40,68  1,43  90   
41   1FT6084-8AH7                    12,0     4500   6300   4  2048 +       150   60,12  0,97  60   
42   1FT6084-8AK7                    9,2      6000   6300   4  2048 +       150   73,8   0,79  50   
43   1FT6084-8SH7                    24,5     4500   6300   4  2048 +       150   82,44  0,97  60   
44   1FT6086-1AC7                    10,9     2000   2700   4  2048 +       150   36,0   2,23  140   
45   1FT6086-8AC7                    10,9     2000   2700   4  2048 +       150   36,0   2,23  140 
46   1FT6086-1AF7                    13       3000   3850   4  2048 +       150   51,84  1,56  98   
47   1FT6086-8AF7                    13,0     3000   3850   4  2048 +       150   51,84  1,56  98
48   1FT6086-8AH7                    12,6     4500   5400   4  2048 +       150   73,44  1,1   70   
